horse_no,horse_name,age,origin,weight,jockey,owner_trainer,starting_position,performance_score,last_6_races,kgs_score,s20_score,eid_score,gny_score,agf_score,venue,file_date
1,MANTON ROAD KG,3y d e,MOHAATHER - ROBBIE ROO ROO(KHELEYF (USA)),"57,5",L MORRİS,PROPULSİON RACİNG G KELLEWAY,5,47,,,,,,%52.27(1)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
2,INVINCIBLE LOVE,3y a e,TERRITORIES (IRE) - CUPBOARD LOVE(IFFRAAJ),"57,5",S D BOWEN,OWNERS GROUP 112 C JOHNSTON,3,47,,,,,,%4.82(4)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
3,MISSILE MAC DB,3y d d,HAVANA GOLD (IRE) - SUPER MIDGE(ROYAL APPLAUSE),58,F DALY,MR ADRIAN MCALPINE G BOUGHEY,4,54,,,,,,%3.03(5)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
4,PAULIE TWO LOCKERS (IRE) KG,3y d e,ACCLAMATION - MK DRAMA (IRE)(LOPE DE VEGA (IRE)),"61,5",OİSİN ORR,MR AİDAN J RYAN R FAHEY,7,55,,,,,,%14.67(3)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
5,GO STEELERS GO K,3y d d,ARDAD (IRE) - MY ANGEL(DARK ANGEL (IRE)),60,R KİNGSCOTE,MİSS SARAH HOYLAND D LOUGHNANE,8,52,,,,,,%1.37(7)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
6,RUMBA BAY,3y d d,HAVANA GREY - NELLIE ELLIS (IRE)(COMPTON PLACE),"60,5",C BİSHOP,DAVE & EMMA EVANS P EVANS,6,53,,,,,,%1.73(6)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
7,ANEEDAH HERO (IRE) DB,3y d e,SAXON WARRIOR (JPN) - ANEEDAH (IRE)(INVINCIBLE SPIRIT (IRE)),59,L EDMUNDS,MUIR RACING PARTNERS W MUIR & C GRASSICK,2,50,,,,,,%21.49(2)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
1.)3.140 £,2.)1.473 £,3.)736 £,4.)368 £,,,,,,,,,,,,﻿Wolverhampton Birleşik Krallık,2025-01-20
2,MAID OF KILLYBEGS (IRE),3y d d,ACCLAMATION - ALLTHERIGHTMOVES (IRE)(NAMID),"57,5",OİSİN ORR,MR M DOYLE C JOHNSTON,1,47,,,,,,%2.91(6)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
3,CAMDEN FLYER (IRE),3y d d,INVINCIBLE SPIRIT (IRE) - BLACKGOLD FAIRY (USA)(MORE THAN READY (USA)),61,C HUTCHİNSON,DARE TO DREAM RACİNG M ATTWATER,4,54,,,,,,%13.73(2)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
4,DILIGENT MADAM,3y d d,DUE DILIGENCE (USA) - MADAM MOJITO (USA)(SMART STRIKE (CAN)),"57,5",C BİSHOP,MR R KENT & PARTNER P EVANS,6,45,,,,,,%1.71(7)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
5,LEADING STAR GIRL (IRE),3y d d,ESTIDHKAAR (IRE) - DEAL (IRE)(INVINCIBLE SPIRIT (IRE)),60,GİNA MANGAN,THE MARK USHER RACİN M USHER,2,52,,,,,,%1.52(8)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
6,BORN TOO RUN K,3y d d,TOO DARN HOT - ACQUISITION(DANSILI (UNR)),"57,5",C FALLON,FODEN AND WHİTE E DUNLOP,8,46,,,,,,%7.18(4)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
7,SWIZZLE KG,3y d d,LAND FORCE (IRE) - SECRET ADVICE(SAKHEE'S SECRET),58,C LEE,GALLOWAY STUD LİMİTE MİSS A MURPHY,7,48,,,,,,%6.67(5)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
8,JESTER QUEEN (USA) K DB,3y d d,PRACTICAL JOKE (USA) - GYMNASTIC (USA)(PIONEEROF THE NILE (USA)),"61,5",W CARVER,JIM AND CLAIRE LIMIT J OSBORNE,5,55,,,,,,%13.03(3)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
1.)3.140 £,2.)1.473 £,3.)736 £,4.)368 £,,,,,,,,,,,,﻿Wolverhampton Birleşik Krallık,2025-01-20
1,ALAFDHAL (IRE)ALAFDHAL KG,7y a  a,LOPE DE VEGA (IRE) - AFDHAAD,"61,5",GRACE MCENTEE,MR TREVOR JOHNSON P MCENTEE,5,58,,,,,,%6.77(7)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
2,STATE OF MADNESS,4y d a,WASHINGTON DC (IRE) - IRRATIONAL(KYLLACHY),60,JOANNA MASON,STRANGERS ON THE SHA D SHAW,1,55,,,,,,%19.7(2)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
3,SO OBSESSED (IRE)SO OBSESSED,4y d k,INVINCIBLE ARMY (IRE) - RED SAVINA,"61,5",H DOYLE,ASGARD THOROUGHBRED M BOTTİ,4,58,,,,,,%8.45(5)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
4,SECOND COLLECTIONSECOND COLLECTION KG,9y d k,DELEGATOR - QUELLE AFFAIRE,58,L MORRIS,MR IAN FURLONG & PAR A CARROLL,2,51,,,,,,%13.19(4)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
5,DESERT MASTERDESERT MASTER,4y d  a,BLUE POINT (IRE) - AL FAREEJ (IRE),58,A JARY,JOHN AND TONY JARVIS A BRITTAIN,7,56,,,,,,%18.11(3)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
6,SIR BENEDICT (IRE)SIR BENEDICT,7y a  a,DANDY MAN (IRE) - KINGDOMFORTHEBRIDE (IRE),60,P MULRENNAN,VİLLAGE RACİNG MRS STELLA BARCLAY,8,55,,,,,,%5.07(8)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
7,NEXT SECONDNEXT SECOND YP,6y d k,HOT STREAK (IRE) - MILLISECOND,56,JP SULLİVAN,"J GREAVES, R WİLLCOC R CARR",3,42,,,,,,%7.2(6)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
8,HASTILY YP,6y d k,CHARM SPIRIT (IRE) - LIKELY (GER)(EXCEED AND EXCEL (AUS)),"56,5",J CLEARY,MR S MCGUINNESS TOM MCGUINNESS,9,53,,,,,,%21.51(1)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
9,WAKAI UMI (IRE)WAKAI UMI YP (Koşmaz),5y d k,KUROSHIO (AUS) - OCEANELLA (IRE),57,MR MASON PAETEL,MRS C LOUGHNANE M LOUGHNANE,6,55,,,,,,%0.01(9)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
