horse_no,horse_name,age,origin,weight,jockey,owner_trainer,starting_position,performance_score,last_6_races,kgs_score,s20_score,eid_score,gny_score,agf_score,venue,file_date
4,DR ALI (IRE),3y d e,INVINCIBLE ARMY (IRE) - PURE SYMMETRY (USA)(STORM CAT (USA)),60,M GHİANİ,MR B DOWLİNG & MR R J R JENKİNS,4,65,,,,,,%0(0)  %5.31(7),﻿Kempton Park Birleşik Krallık,2025-01-20
5,BANK ON KENTBANK ON KENT KG,3y d  e,MASSAAT (IRE) - A GO GO (UK),"56,5",C SHEPHERD,MR S W BANKS P EVANS,2,57,,,,,,%0(0)  %25.25(1),﻿Kempton Park Birleşik Krallık,2025-01-20
6,ROTATION DB,3y d e,HAVANA GOLD (IRE) - POPPY PIVOT (IRE)(PIVOTAL),"54,5",OLIVER CARMICHAEL,MISS E JOHNSON HOUGH E J-HOUGHTON,8,60,,,,,,%0(0)  %10.99(5),﻿Kempton Park Birleşik Krallık,2025-01-20
7,ROGUE ENDEAVOUR (IRE)ROGUE ENDEAVOUR YP,3y d  e,DANDY MAN (IRE) - SOCIETY GAL (IRE),"58,5",DAVID PROBERT,MR MARTYN BRIAN CLEM N MULHOLLAND,7,62,,,,,,%0(0)  %7.53(6),﻿Kempton Park Birleşik Krallık,2025-01-20
8,BERNING HOT (IRE),3y k d,RAVEN'S PASS (USA) - DREAM ON ME (GER)(KENDARGENT (GER)),"59,5",W CARSON,DARE TO DREAM & MART M ATTWATER,3,64,,,,,,%0(0)  %1.77(8),﻿Kempton Park Birleşik Krallık,2025-01-20
1.)4.187 £,2.)1.964 £,3.)981 £,4.)491 £,,,,,,,,,,,,﻿Kempton Park Birleşik Krallık,2025-01-20
1,APPLE'S ANGEL (IRE) K,3y a d,KAMEKO (USA) - LA DERNIERE FOIS (IRE)(RAVEN'S PASS (USA)),"53,5",JOSEPHİNE GORDON,MR J C G CHUA S DOW,4,49,,,,,,%0(0)  %5.27(7),﻿Kempton Park Birleşik Krallık,2025-01-20
3,COSMIC FORCE,3y d e,MEHMAS (IRE) - RAPTURE (FR)(PIVOTAL),"59,5",BİLLY LOUGHNANE,POMPEY VENTURES 6 & G BOUGHEY,2,62,,,,,,%0(0)  %42.84(1),﻿Kempton Park Birleşik Krallık,2025-01-20
4,COMMENDATION,3y d d,SHOWCASING - PRAISED(PIVOTAL),"60,5",D PROBERT,CHEVELEY PARK STUD A BALDİNG,6,64,,,,,,%0(0)  %10.94(4),﻿Kempton Park Birleşik Krallık,2025-01-20
5,MARVELOUSLY (IRE) KG,3y d d,COTAI GLORY - TERRIFICALLY (IRE)(SIR PRANCEALOT (IRE)),61,C SHEPHERD,ECLİPSE THOROUGHBRED MİSS A MURPHY,1,65,,,,,,%0(0)  %7.14(5),﻿Kempton Park Birleşik Krallık,2025-01-20
6,PIRANHA RAMAPIRANHA RAMA,3y d  d,MASSAAT (IRE) - PIRANHA (IRE),58,JORDAN WILLIAMS,ERIC GRIFFITHS & P D P EVANS,7,64,,,,,,%0(0)  %12.28(2),﻿Kempton Park Birleşik Krallık,2025-01-20
7,MIAKODA (IRE) KG,3y d e,BLUE POINT. (IRE) - DEW LINE (IRE)(VALE OF YORK (IRE)),58,D KEENAN,PİMLİCO RACİNG & SAN JAMES OWEN,8,59,,,,,,%0(0)  %10.98(3),﻿Kempton Park Birleşik Krallık,2025-01-20
8,JANE GARFIELD (IRE),3y d d,JAMES GARFIELD (IRE) - JANE ROSE (IRE)(ACCLAMATION),"61,5",R HAVLİN,MARCHWOOD RECYCLİNG S KİRK,5,66,,,,,,%0(0)  %6.3(6),﻿Kempton Park Birleşik Krallık,2025-01-20
1.)4.187 £,2.)1.964 £,3.)981 £,4.)491 £,,,,,,,,,,,,﻿Kempton Park Birleşik Krallık,2025-01-20
2,BELL SHOT (IRE)BELL SHOT YP,6y d  a,DARK ANGEL (IRE) - MERRY ME (IRE),60,BİLLY LOUGHNANE,SBK RACİNG & B & J P M APPLEBY,7,73,,,,,,%0(0)  %16.88(3),﻿Kempton Park Birleşik Krallık,2025-01-20
3,KING OF ITHACAKING OF ITHACA,5y d  a,ULYSSES (IRE) - RHAGORI,"59,5",JASON WATSON,HEART OF THE SOUTH R J TATE,3,72,,,,,,%0(0)  %17.84(2),﻿Kempton Park Birleşik Krallık,2025-01-20
4,GROOVY BABY K,4y d k,KINGMAN - HIPPY HIPPY SHAKE(DANEHILL DANCER (IRE)),"59,5",D PROBERT,HELENA SPRİNGFİELD L A BALDİNG,8,72,,,,,,%0(0)  %11.99(4),﻿Kempton Park Birleşik Krallık,2025-01-20
6,PORT ROAD (USA),4y k a,QUALITY ROAD (USA) - TACKING (USA)(MIZZEN MAST (USA)),61,D KEENAN,THE ECO FRİENDLİES S DOW,2,75,,,,,,%0(0)  %10.93(6),﻿Kempton Park Birleşik Krallık,2025-01-20
7,DION BAKER (IRE)DION BAKER YP,6y d  a,RIBCHESTER (IRE) - TIGA TUAN (FR),"59,5",T E WHELAN,CARL APPLETON & PETE M WIGHAM,5,72,,,,,,%0(0)  %1.39(9),﻿Kempton Park Birleşik Krallık,2025-01-20
8,G'DAAYG'DAAY,7y d  a,ADAAY (IRE) - GILT LINKED,61,CALLUM SHEPHERD,TREVOR AND RUTH MILN J PARR,6,75,,,,,,%0(0)  %7.2(7),﻿Kempton Park Birleşik Krallık,2025-01-20
